utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
Mademoiselle.,Male Speaker,ConversationalExchange,,mademoiselle
"Oui, Monsieur.",Female Speaker,SimpleResponse,,oui monsieur
"Quand est-ce que vous voudriez manger, Mademoiselle? Maintenant?",Male Speaker,ConversationalExchange,,quand être vous vouloir manger mademoiselle maintenant
"Non, Monsieur, pas maintenant. Plus tard, s'il vous plaît. Mais je voudrais boire quelque chose maintenant.",Female Speaker,ConversationalExchange,,non monsieur pas maintenant plus tard s'il vous plaire mais je vouloir boire quelque chose maintenant
Où?,Male Speaker,ConversationalExchange,,où
Je ne sais pas.,Female Speaker,ConversationalExchange,,je ne savoir pas
Chez moi?,Male Speaker,ConversationalExchange,,chez moi
"Oui, très bien.",Female Speaker,ConversationalExchange,,oui très bien
Mademoiselle.,Male Speaker,DirectRepetition,Listen again.,mademoiselle
"Oui, Monsieur?",Female Speaker,DirectRepetition,Listen again.,oui monsieur
"Quand est-ce que vous voudriez manger, Mademoiselle? Maintenant?",Male Speaker,DirectRepetition,Listen again.,quand être vous vouloir manger mademoiselle maintenant
"Non, Monsieur, pas maintenant. Plus tard, s'il vous plaît. Mais je voudrais boire quelque chose maintenant.",Female Speaker,DirectRepetition,Listen again.,non monsieur pas maintenant plus tard s'il vous plaire mais je vouloir boire quelque chose maintenant
Où?,Male Speaker,DirectRepetition,Listen again.,où
Je ne sais pas.,Female Speaker,DirectRepetition,Listen again.,je ne savoir pas
Chez moi?,Male Speaker,DirectRepetition,Listen again.,chez moi
"Oui, très bien.",Female Speaker,DirectRepetition,Listen again.,oui très bien
Où est-ce que vous voudriez manger?,Female Speaker,PromptedRecall,"Ask, ""Where would you like to eat?""",où être vous vouloir manger
Où est-ce que vous voudriez manger?,Female Speaker,DirectRepetition,,où être vous vouloir manger
Chez moi.,Male Speaker,PromptedRecall,"Do you remember how to say, ""At my place""?",chez moi
Chez moi.,Male Speaker,DirectRepetition,,chez moi
Pas chez vous.,Male Speaker,PromptedRecall,"And how do you say, ""Not at your place""?",pas chez vous
Je voudrais manger.,Male Speaker,PromptedRecall,Tell me that you would like to eat.,je vouloir manger
Manger.,Male Speaker,DirectRepetition,,manger
Je voudrais.,Male Speaker,DirectRepetition,,je vouloir
Je voudrais.,Male Speaker,DirectRepetition,,je vouloir
Je voudrais manger.,Male Speaker,DirectRepetition,,je vouloir manger
Moi aussi.,Female Speaker,PromptedRecall,"Say, ""Me too.""",moi aussi
